time,open,high,low,close,Plot
2025-08-31T17:00:00-05:00,23479,23515,23464,23504.5,
2025-08-31T17:15:00-05:00,23505.25,23514.5,23498.5,23499.75,
2025-08-31T17:30:00-05:00,23500.75,23525.25,23499,23522.25,
2025-08-31T17:45:00-05:00,23523.5,23537,23522.75,23536,
2025-08-31T18:00:00-05:00,23535.25,23546.25,23532.75,23536.5,
2025-08-31T18:15:00-05:00,23536.5,23541,23530,23533.75,
2025-08-31T18:30:00-05:00,23534.75,23536.75,23530,23536,
2025-08-31T18:45:00-05:00,23536.5,23538.5,23530,23538.5,
2025-08-31T19:00:00-05:00,23538.5,23552.25,23530,23549.5,
2025-08-31T19:15:00-05:00,23549,23552.5,23530,23537,
2025-08-31T19:30:00-05:00,23537,23541.5,23530,23539.75,
2025-08-31T19:45:00-05:00,23539.25,23544.5,23537.75,23537.75,
2025-08-31T20:00:00-05:00,23538.5,23540.25,23531,23536,
2025-08-31T20:15:00-05:00,23535.5,23539,23529.5,23534.75,
2025-08-31T20:30:00-05:00,23534.75,23538.25,23529.5,23532.25,
2025-08-31T20:45:00-05:00,23532.25,23535.25,23508.25,23517.75,
2025-08-31T21:00:00-05:00,23518,23518.5,23486.25,23487.5,
2025-08-31T21:15:00-05:00,23487.75,23489.75,23474.25,23477,
2025-08-31T21:30:00-05:00,23476.25,23485.75,23466,23473.25,
2025-08-31T21:45:00-05:00,23473.25,23483.25,23468,23469,
2025-08-31T22:00:00-05:00,23469,23484.75,23453,23480,
2025-08-31T22:15:00-05:00,23480,23481.5,23433.75,23442.5,
2025-08-31T22:30:00-05:00,23444.75,23449,23431.75,23446.75,
2025-08-31T22:45:00-05:00,23448,23450,23440.25,23442.25,
2025-08-31T23:00:00-05:00,23442,23447.5,23437.25,23438.75,
2025-08-31T23:15:00-05:00,23440,23444.75,23432,23433,
2025-08-31T23:30:00-05:00,23433.25,23433.5,23406.75,23418.75,
2025-08-31T23:45:00-05:00,23419.25,23442.25,23416.75,23428,
